"subj_idx","level","absLevel","levelMean","periodicity","nEvents","rt","response"
1,2,2,3.69,"Periodic",9,2.977,1
1,4,4,7.38,"Periodic",7,2.067,1
1,-1,1,-1.845,"Periodic",9,2.7,1
1,2,2,3.69,"Aperiodic",9,2.681,1
1,1,1,1.845,"Periodic",9,2.952,0
1,-4,4,-7.38,"Aperiodic",6,1.505,1
1,4,4,7.38,"Periodic",7,2.015,1
1,2,2,3.69,"Periodic",7,2.32,1
1,-1,1,-1.845,"Periodic",9,2.863,1
1,-4,4,-7.38,"Aperiodic",10,2.994,1
1,-4,4,-7.38,"Periodic",4,1.095,1
1,4,4,7.38,"Periodic",5,1.401,1
1,-4,4,-7.38,"Aperiodic",6,1.92,1
1,-4,4,-7.38,"Periodic",6,1.938,1
1,4,4,7.38,"Periodic",4,1.286,1
1,4,4,7.38,"Aperiodic",6,1.695,1
1,-4,4,-7.38,"Periodic",4,1.212,1
1,-2,2,-3.69,"Aperiodic",6,1.8,1
1,-1,1,-1.845,"Periodic",5,1.497,0
1,-4,4,-7.38,"Aperiodic",6,1.761,1
1,-4,4,-7.38,"Periodic",4,1.15,1
1,-4,4,-7.38,"Aperiodic",5,1.562,1
1,2,2,3.69,"Aperiodic",6,1.808,1
1,1,1,1.845,"Aperiodic",6,1.851,1
1,-1,1,-1.845,"Periodic",9,2.805,1
1,-2,2,-3.69,"Periodic",6,1.916,1
1,-2,2,-3.69,"Aperiodic",5,1.788,1
1,1,1,1.845,"Periodic",7,2.288,1
1,1,1,1.845,"Periodic",7,2.326,1
1,1,1,1.845,"Periodic",5,1.574,1
1,-4,4,-7.38,"Aperiodic",9,2.756,1
1,1,1,1.845,"Periodic",7,2.076,1
1,-1,1,-1.845,"Aperiodic",6,2.114,0
1,-2,2,-3.69,"Aperiodic",7,2.134,1
1,-1,1,-1.845,"Periodic",7,2.268,1
1,1,1,1.845,"Aperiodic",8,2.341,1
1,-1,1,-1.845,"Periodic",8,2.455,1
1,2,2,3.69,"Periodic",5,1.562,1
1,-2,2,-3.69,"Periodic",8,2.354,1
1,-1,1,-1.845,"Aperiodic",8,2.399,1
1,1,1,1.845,"Aperiodic",9,2.996,0
1,4,4,7.38,"Aperiodic",5,1.44,1
1,-1,1,-1.845,"Aperiodic",6,1.773,0
1,1,1,1.845,"Aperiodic",11,3.378,0
1,2,2,3.69,"Periodic",6,1.776,1
1,4,4,7.38,"Periodic",7,2.205,1
1,4,4,7.38,"Periodic",6,1.761,1
1,4,4,7.38,"Periodic",5,1.661,1
1,2,2,3.69,"Aperiodic",8,2.375,1
1,-2,2,-3.69,"Periodic",10,3.313,1
1,1,1,1.845,"Periodic",10,3.125,1
1,4,4,7.38,"Aperiodic",6,1.804,1
1,2,2,3.69,"Periodic",3,0.998,1
1,-2,2,-3.69,"Periodic",7,2.077,1
1,2,2,3.69,"Aperiodic",5,1.727,1
1,-2,2,-3.69,"Periodic",4,1.16,1
1,-4,4,-7.38,"Periodic",9,2.879,1
1,-1,1,-1.845,"Periodic",11,3.426,1
1,2,2,3.69,"Periodic",7,2.171,1
1,2,2,3.69,"Aperiodic",6,1.713,1
1,4,4,7.38,"Aperiodic",7,1.976,1
1,1,1,1.845,"Aperiodic",9,2.732,0
1,-4,4,-7.38,"Aperiodic",7,2.267,1
1,-2,2,-3.69,"Aperiodic",11,3.354,1
1,4,4,7.38,"Aperiodic",8,2.218,1
1,-1,1,-1.845,"Aperiodic",12,3.828,0
1,-4,4,-7.38,"Periodic",4,1.04,1
1,-1,1,-1.845,"Aperiodic",12,3.642,1
1,2,2,3.69,"Aperiodic",7,2.386,1
1,-2,2,-3.69,"Aperiodic",10,2.928,1
1,2,2,3.69,"Periodic",7,2.139,1
