"subj_idx","level","absLevel","levelMean","periodicity","nEvents","rt","response"
1,-1,1,-1.845,"Periodic",8,2.455,0
1,2,2,3.69,"Periodic",5,1.562,1
1,-2,2,-3.69,"Periodic",8,2.354,0
1,0,0,0,"Periodic",4,1.206,1
1,-1,1,-1.845,"Aperiodic",8,2.399,0
1,1,1,1.845,"Aperiodic",9,2.996,0
1,4,4,7.38,"Aperiodic",5,1.44,1
1,-1,1,-1.845,"Aperiodic",6,1.773,1
1,1,1,1.845,"Aperiodic",11,3.378,0
1,2,2,3.69,"Periodic",6,1.776,1
1,4,4,7.38,"Periodic",7,2.205,1
1,4,4,7.38,"Periodic",6,1.761,1
1,4,4,7.38,"Periodic",5,1.661,1
1,0,0,0,"Periodic",6,1.779,0
1,0,0,0,"Periodic",8,2.46,0
1,2,2,3.69,"Aperiodic",8,2.375,1
1,0,0,0,"Periodic",8,2.48,0
1,-2,2,-3.69,"Periodic",10,3.313,0
1,1,1,1.845,"Periodic",10,3.125,1
1,4,4,7.38,"Aperiodic",6,1.804,1
1,2,2,3.69,"Periodic",3,0.998,1
1,-2,2,-3.69,"Periodic",7,2.077,0
1,2,2,3.69,"Aperiodic",5,1.727,1
1,-2,2,-3.69,"Periodic",4,1.16,0
1,-4,4,-7.38,"Periodic",9,2.879,0
1,-1,1,-1.845,"Periodic",11,3.426,0
1,2,2,3.69,"Periodic",7,2.171,1
1,2,2,3.69,"Aperiodic",6,1.713,1
1,4,4,7.38,"Aperiodic",7,1.976,1
1,1,1,1.845,"Aperiodic",9,2.732,0
1,-4,4,-7.38,"Aperiodic",7,2.267,0
1,0,0,0,"Aperiodic",8,2.509,1
1,-2,2,-3.69,"Aperiodic",11,3.354,0
1,4,4,7.38,"Aperiodic",8,2.218,1
1,-1,1,-1.845,"Aperiodic",12,3.828,1
1,-4,4,-7.38,"Periodic",4,1.04,0
1,0,0,0,"Aperiodic",5,1.492,1
1,-1,1,-1.845,"Aperiodic",12,3.642,0
1,2,2,3.69,"Aperiodic",7,2.386,1
1,-2,2,-3.69,"Aperiodic",10,2.928,0
1,2,2,3.69,"Periodic",7,2.139,1
1,4,4,7.38,"Aperiodic",4,1.047,1
1,-4,4,-7.38,"Aperiodic",5,1.304,0
1,-2,2,-3.69,"Periodic",5,1.658,1
1,-2,2,-3.69,"Aperiodic",8,2.351,0
1,-2,2,-3.69,"Periodic",10,3.116,0
1,1,1,1.845,"Aperiodic",7,2.255,1
1,1,1,1.845,"Aperiodic",8,2.345,1
1,2,2,3.69,"Aperiodic",8,2.422,1
1,-1,1,-1.845,"Periodic",15,4.736,0
1,2,2,3.69,"Aperiodic",9,3.114,1
1,0,0,0,"Periodic",8,2.647,1
1,1,1,1.845,"Periodic",10,3.043,0
1,1,1,1.845,"Periodic",5,1.432,0
1,2,2,3.69,"Aperiodic",10,3.103,1
1,2,2,3.69,"Periodic",8,2.623,1
1,4,4,7.38,"Aperiodic",8,2.271,1
1,1,1,1.845,"Aperiodic",13,4.355,1
1,-4,4,-7.38,"Aperiodic",5,1.205,0
1,-1,1,-1.845,"Periodic",11,3.596,0
1,-2,2,-3.69,"Periodic",9,2.888,0
1,4,4,7.38,"Aperiodic",4,1.117,1
1,-4,4,-7.38,"Periodic",5,1.379,0
1,-1,1,-1.845,"Aperiodic",6,2.098,0
1,4,4,7.38,"Periodic",7,2.286,1
1,2,2,3.69,"Periodic",8,2.538,1
