Parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err
v_subj(-2.Aperiodic).11,-0.64539030799741048,0.14555898054449945,-0.93050456890920064,-0.74317103080850788,-0.64280823437053869,-0.54659399262185437,-0.35963325967574811,0.0016304458420975762
v_subj(-2.Aperiodic).12,-0.85335581314919873,0.17158363850585989,-1.2001597003594195,-0.96562628318243171,-0.85172284122869679,-0.73621956396053401,-0.52548571003693278,0.0022460234956929522
v_subj(-2.Aperiodic).13,-0.37913066486356184,0.092912069521739471,-0.5626218140036976,-0.4411646938442837,-0.37788121165574823,-0.31603884367723456,-0.20171115197975364,0.0011001308416558615
v_subj(-2.Aperiodic).14,-0.98184799359836472,0.16425905210670097,-1.3063836853556818,-1.0908185539312865,-0.98044370036085038,-0.86770563317844807,-0.6672087883711193,0.0018877215739236855
v_subj(-2.Aperiodic).15,-0.86148404504864806,0.1579782578510576,-1.1859953318412715,-0.96556729377835482,-0.85565705306273543,-0.75354261065913952,-0.56535838510269643,0.0018598398382847498
v_subj(-2.Aperiodic).16,-0.69745764933074028,0.13761750541423987,-0.96748292982087247,-0.79205399026368961,-0.69672505179720157,-0.60250785416187069,-0.43112608129774821,0.0014234518791502581
v_subj(-2.Aperiodic).17,-0.33444397917110003,0.11629934011129582,-0.56522700508412127,-0.41179771445145397,-0.33362764164271108,-0.25357370778893118,-0.11301193029273904,0.0011743229888957611
v_subj(-2.Aperiodic).18,-0.68765232571798629,0.13980750257700841,-0.96723879768615029,-0.7816720899467331,-0.6868040157113865,-0.59310199156234378,-0.41659369750816971,0.0014673119343041334
v_subj(-2.Aperiodic).19,-0.53828704121691229,0.12201800683767902,-0.78518057714772693,-0.6165207542351544,-0.53760021590862372,-0.45793802174952813,-0.30052682773910466,0.001308976396964201
v_subj(-2.Aperiodic).20,-1.086068096990398,0.17384397754135156,-1.4339604779068034,-1.2016588991690622,-1.0834638555723406,-0.96608920531690878,-0.75343990489801205,0.0019793829739098686
v_subj(-2.Periodic).1,-0.76516598478310194,0.1349615195493831,-1.0318809997356539,-0.85688305438000367,-0.76413060403363053,-0.67169423846963272,-0.50578271148487386,0.0016127070450540684
v_subj(-2.Periodic).2,-0.7278901832278285,0.17091161195138793,-1.0687285137910612,-0.84197268503223466,-0.72756331030248778,-0.61244407032479486,-0.39542336715896642,0.0017746215288961208
v_subj(-2.Periodic).3,-0.79644559264423975,0.12053198500484387,-1.0335202365368501,-0.87827467803364856,-0.79501906710796078,-0.71438975723426201,-0.56401840123560265,0.0013298134536015658
v_subj(-2.Periodic).4,-0.82668990177806134,0.13291856682671749,-1.0876160771937744,-0.91370163684719674,-0.82398782712861607,-0.73720405032168701,-0.56890519615457191,0.0014665143397682631
v_subj(-2.Periodic).5,-0.92331910651038163,0.14540782453055093,-1.2177768273388163,-1.0204971077856428,-0.91899520149665492,-0.82338358909890008,-0.64852901693796894,0.0016188421606639363
v_subj(-2.Periodic).6,-1.1094566074650636,0.1318337801181608,-1.3743390607916908,-1.1979475504192096,-1.1084204045593256,-1.0203365805690767,-0.85333660818403467,0.0015328621695803357
v_subj(-2.Periodic).7,-0.90270349334345679,0.15997541051644731,-1.2142684115479192,-1.0098956118244311,-0.90372342405054384,-0.79182293820990979,-0.5946678692502616,0.0017794678784894507
